objectid,parentid,title,date,date-is-approximate?,shape,firstadded,added,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_thumb,image_small,image_alt_text,object_transcript
sas1_001,,Daniel peluquería de caballeros,,,Regular,00000001,99999999,,,Hairdresser in Madrid,,hairdresser,"Leganés, Spain",40.336829,-3.749551,,,,,,,,,multiple,spa,,,sas1_001,multiple,,https://lh3.googleusercontent.com/d/1SRvOSW38NA_xF_zO-pXb6KAPhLPHR6BD,https://lh3.googleusercontent.com/d/10bhkJ329SligaEqvWI9HkpprG69eEKRb,,
sas1_001a,sas1_001,Front,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,image,https://lh3.googleusercontent.com/d/1fSw_Gd1920udCDtGnNC9VryURE-44phC,https://lh3.googleusercontent.com/d/1SRvOSW38NA_xF_zO-pXb6KAPhLPHR6BD,https://lh3.googleusercontent.com/d/10bhkJ329SligaEqvWI9HkpprG69eEKRb,,
sas1_001b,sas1_001,Back,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,image,https://lh3.googleusercontent.com/d/1NArEjAjB8Z7uQW-BVqnT5Go4mmzX3er1,https://lh3.googleusercontent.com/d/1B2fz0iM-EbVIpVrq5gCZmJMx4LpbNh0G,https://lh3.googleusercontent.com/d/1B2fz0iM-EbVIpVrq5gCZmJMx4LpbNh0G,,
sas1_002,,Herencia Barbera,,,Regular,00000002,99999998,,,Hairdresser in Madrid,,hairdresser,"Madrid, Spain",40.399760,-3.698827,,,,,,,,,multiple,spa,,,sas1_002,multiple,,https://lh3.googleusercontent.com/d/1P8H_6Qx2326ya3W0hakQFyKMqRWlfpRf,https://lh3.googleusercontent.com/d/1xwQLJxg672ABuRCgvc5gKZ8BFuA8U21A,,
sas1_002a,sas1_002,Front,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,image,https://lh3.googleusercontent.com/d/1-hzW0rMJeuQNyzrr5VMnHiKcpknKnizU,https://lh3.googleusercontent.com/d/1P8H_6Qx2326ya3W0hakQFyKMqRWlfpRf,https://lh3.googleusercontent.com/d/1xwQLJxg672ABuRCgvc5gKZ8BFuA8U21A,,
sas1_002b,sas1_002,Back,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,image,https://lh3.googleusercontent.com/d/1ntrOBBVcCk7NPLJnYBbfhCZMcMm6ro5m,https://lh3.googleusercontent.com/d/1arHtb6YSxZU-CrrpYEL6qMmxBtnEWFU3,https://lh3.googleusercontent.com/d/1el9EboahkTUxR6eoS3kw10oh-aX6OFw9,,
sas1_003,,Ramen Kagura (Atocha),,,Regular,00000003,99999997,,,Restaurant specialized in ramen. The back contains fields to fill for each 10€ spent to earn free drink and ramen. This card was already completed and redeemed.,,restaurant;ramen;ramenkagura,"Madrid, Spain",40.405168,-3.697276,,,,,,,,,multiple,spa,,,sas1_003,multiple,,https://lh3.googleusercontent.com/d/1lXXJZIblBaIh52lgE_bsXLdSL0j8sBVm,https://lh3.googleusercontent.com/d/1wYqSldYQyqi7SHiW1NwEtfqt4VKKIhuF,,
sas1_003a,sas1_003,Front,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,image,https://lh3.googleusercontent.com/d/1XYqunAYzwF1xk9287VVcZ5GIS99CS_TD,https://lh3.googleusercontent.com/d/1lXXJZIblBaIh52lgE_bsXLdSL0j8sBVm,https://lh3.googleusercontent.com/d/1wYqSldYQyqi7SHiW1NwEtfqt4VKKIhuF,,
sas1_003b,sas1_003,Back,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,image,https://lh3.googleusercontent.com/d/1HlmwmWmJ9nI1WtiEd0KdFK_7U_P5Tkbw,https://lh3.googleusercontent.com/d/1unjJf59c-gtpaVciyjdCNSsjA8FhvIjr,https://lh3.googleusercontent.com/d/1Fxr0o2MCbz_ziQjzFw3tTJcs6TJsUfn1,,
sas1_004,,Cobra Kai Tattoo,,,Regular,00000004,99999996,,,Tattoo studio. Their new name is Black Vibora Tattoo.,,tattoo,"Madrid, Spain",40.411314,-3.704384,,,,,,,,,multiple,spa,,,sas1_004,multiple,,https://lh3.googleusercontent.com/d/14vU0TThDrJ8buD7Co2RKC-xZ21pbyJ18,https://lh3.googleusercontent.com/d/1KRW2mTY9WiIQ8GkuE19vsZRmNOuN6HPG,,
